0,1,2,3,4,5
tt0162711,Alan Rudolph,"Alan Rudolph, John Binder",4.9,1h 56min,"An eccentric, unconventional woman whose naive aspirations to rise from her job as a security guard to full-fledged private eye lead her into a tangled PL: mess."
tt0163745,Gene Cajayon,"Gene Cajayon, John Manal Castro",6.4,1h 34min,A young man struggles with his desire to study art when his family thinks he's headed for premedical studies. Conflicts between Filipino traditions and expectations vs. personal dreams in the contemporary world erupt at his sister's debut.
tt0164192,"Mitch Marcus, John Blush",Dave Payne,4.7,1h 32min,
tt0166192,Lynn Hamrick,"Susanne Santoro Whayne, Monty Mickelson",5.6,1h 28min,"Two teenage detectives, who started off finding lost kittens, begin searching for a missing high-school senior."
tt0167183,Irene Turner,Amanda L. Beall,4.8,1h 41min,Grace and her roommate Casey don't get along. Grace is in a happy relationship with Charlie and they are planning to get married soon and that frustrated Casey because she thinks Grace just has everything. As the time goes by their relationships will get more complicated and nothing will be as it seemed...
tt0168509,Gabriel Auer,Gabriel Auer,6.2,1h 24min,Dirección
tt0166649,Günter Knarr,"Günter Knarr, Philipp Weinges",7.1,1h 30min,Dirección
tt0167936,Laura Belli,"Laura Belli, Laura Betti",5.5,1h 32min,Dirección
tt0168578,Jeremy Wagener,Jeremy Wagener,4.4,1h 33min,"Just as a man discovers that the girl of his dreams has been with him all the time, she walks out the door."
tt0168856,"Stefan Fjeldmark, Greg Manwaring, Michael Donovan","Tracy J. Brown, Stefan Fjeldmark, Karsten Kiilerich",6.0,1h 20min,"Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. When the kids end up in the sea, they must find the antidote within 48 hours or remain as fish forever."
tt0168504,Scott Wiper,Scott Wiper,5.6,1h 41min,A Chicago cop quits the force and finds himself threatened by the Mafia.
tt0168847,Iva Svarcová,Iva Svarcová,7.0,1h 30min,"1969, the first winter after the violent end of the Spring of Prague: 13-year-old Hannah and her crazy young parents land as though on a completely different planet in the German economic wonderland."
tt0170016,Ron Howard,"Dr. Seuss, Jeffrey Price, Peter S. Seaman",6.3,1h 44min,
tt0171433,Edward Norton,Stuart Blumberg,6.4,2h 8min,
tt0170635,Roberta Torre,"Franco Maresco, Francesco Suriano, Roberta Torre",5.6,2000,Dirección
tt0172160,Catrine Telle,Beate Grimsrud,4.6,1h 21min,"Denise plays football, though she is near sighted, and suddenly she gets a ball in her face, and her glasses break. She wakes up in hospital she is double sighted."
tt0171356,Eric Blakeney,Eric Blakeney,5.6,1h 41min,An undercover agent relies on the support of an unstable therapy group while working a sting operation.
tt0171580,"Neil La, Bute","John C. Richards, James Flamberg",6.3,1h 50min,
tt0172699,Tracy Alexson,Tracy Alexson,4.6,1h 30min,"Sarah and Ryan were a great couple. They had their fun together, but the man's fear of commitment pushed the woman away. Yet the situation between them isn't over because Sarah is pregnant and she's trying to find ways to hide this news from Ryan and everyone else - except her best friend, who probably won't be of much help in this matter."
tt0172464,Neil Mandt,"Mark Twain, Gregory Poppen",3.1,1h 31min,
tt0172854,Bryan Snyder,Bryan Snyder,,,Dirección
tt0173716,John Waters,John Waters,6.2,1h 27min,
tt0174336,Peter M. Cohen,Peter M. Cohen,4.4,1h 22min,
tt0175114,Thom Steinhoff,Tony Winters,7.4,1h 48min,"A thirty-something avowed bachelor from Los Angeles invites a jazz singer that he is barely acquainted with, to accompany him to Detroit for his father's retirement celebration."
tt0174646,Gil Brenton,Gil Brenton,6.5,1h 19min,A beautiful woman comes between a father and son.
tt0175142,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Buddy Johnson",6.3,1h 28min,
tt0177195,Clinton Smith,"Clinton Smith, Peter Buckmaster, Anthony O'Connor",4.1,1h 37min,"This edgy Australian film stars an ensemble cast headed up by pop superstar Kylie Minogue, David Field, and Simon Lyndon. Various characters interact under strange circumstances, calling to mind movies such as GO and PULP FICTION."
tt0177650,"Peter Askin, Douglas Mc, Grath","Peter Askin, Douglas Mc, Grath",5.2,1h 35min,
tt0177845,Terence Gross,Terence Gross,6.2,1h 38min,A chef (Toni Collette) seeks reconciliation with her brother (Daniel Craig) by helping him run a decaying resort and health spa.
tt0178043,Eric Bross,"Tim Garrick, Scott Russell",6.2,1h 30min,Lives spiral out of control when four friends cover up a murder.
tt0177858,Fatih Akin,Fatih Akin,7.6,1h 39min,"A young, insecure teacher embarks on a journey through Europe to Turkey, where he wants to see a woman again whom he believes to be his fate."
