0,1,2,3,4,5
tt0167183,Irene Turner,Amanda L. Beall,4.8,1h 41min,Grace and her roommate Casey don't get along. Grace is in a happy relationship with Charlie and they are planning to get married soon and that frustrated Casey because she thinks Grace just has everything. As the time goes by their relationships will get more complicated and nothing will be as it seemed...
tt0168446,Hans Petter Moland,"Hans Petter Moland, Kristin Amundsen, Lars Bill Lundholm",7.1,1h 53min,"A mom dying in Aberdeen, Scotland, asks her coke snorting, nympho, London lawyer daughter to get her estranged, alcoholic dad in Oslo, Norway, to Aberdeen. He's drunk at the airport, so they travel together by car and ferry."
tt0168629,Lars von Trier,"Lars von Trier, Sjón",7.9,2h 20min,
tt0168509,Gabriel Auer,Gabriel Auer,6.2,1h 24min,Dirección
tt0167203,Hugh Hudson,"Kuki Gallmann, Paula Milne, Susan Shilliday",5.5,1h 54min,
tt0167380,Aleksandr Proshkin,"Alexander Pushkin, Galina Arbuzova, Stanislav Govorukhin",6.6,2h 10min,A historical drama based on the novel of the same name.
tt0169324,Kevin Tenney,Kevin Tenney,5.6,1h 35min,
tt0168612,Greg Morgan,Robert David Cochrane,5.3,1h 37min,"A gritty tale of how the game of life plays out in Inglewood, California. When a pickup basketball game turns deadly, Reggie seeks revenge as he tracks down his best friend's killers. When Reggie locates who he believes are the perpetrators, everyone around wants to ensure the matter is handled fairly and without any additional bloodshed."
tt0169122,Jag Mundhra,"Thomas A. Fucci, Randor Guy",3.5,1h 35min,
tt0168856,"Stefan Fjeldmark, Greg Manwaring, Michael Donovan","Tracy J. Brown, Stefan Fjeldmark, Karsten Kiilerich",6.0,1h 20min,"Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. When the kids end up in the sea, they must find the antidote within 48 hours or remain as fish forever."
tt0168504,Scott Wiper,Scott Wiper,5.6,1h 41min,A Chicago cop quits the force and finds himself threatened by the Mafia.
tt0168631,Gregory Marquette,Gregory Marquette,4.7,1h 30min,
tt0171433,Edward Norton,Stuart Blumberg,6.4,2h 8min,
tt0171359,Michael Almereyda,"William Shakespeare, Michael Almereyda",5.9,1h 52min,Modern-day New York City adaptation of Shakespeare's immortal story about Hamlet's plight to avenge his father's murder.
tt0170452,John Leekley,"John Leekley, Evan Rhodes",5.1,1h 49min,"A young boy sets out to find his mother. After setting up camp in Central Park, he encounters a group of people even needier than himself."
tt0170691,Joel Schumacher,"Ross Klavan, Michael Mc, Gruther",6.9,1h 41min,
tt0172495,Ridley Scott,"David Franzoni, John Logan, William Nicholson",8.5,2h 35min,
tt0171580,"Neil La, Bute","John C. Richards, James Flamberg",6.3,1h 50min,
tt0172699,Tracy Alexson,Tracy Alexson,4.6,1h 30min,"Sarah and Ryan were a great couple. They had their fun together, but the man's fear of commitment pushed the woman away. Yet the situation between them isn't over because Sarah is pregnant and she's trying to find ways to hide this news from Ryan and everyone else - except her best friend, who probably won't be of much help in this matter."
tt0172632,Stanley Tucci,"Joseph Mitchell, Howard A. Rodman",6.6,1h 44min,"Around 1940, The New Yorker staff writer Joe Mitchell meets Joe Gould, a Greenwich Village character, who is writing a voluminous Oral History of the World, a record of twenty thousand conversations he's overheard."
tt0173999,Tony Barbieri,Tony Barbieri,6.3,1h 40min,"A 10-year-old boy shares an intense bond with his mentally ill mother. The youth's life is turned upside down when his mother lapses into violent psychosis. A former psychiatrist takes pity on, and then custody of, the child."
tt0174027,Mohamed Rachid Benhadj,Mohamed Rachid Benhadj,6.4,1h 47min,
tt0174480,Joan Chen,Allison Burnett,5.6,1h 43min,
tt0174646,Gil Brenton,Gil Brenton,6.5,1h 19min,A beautiful woman comes between a father and son.
tt0176578,"Jimmy Bridges, Todd Bridges","Jimmy Bridges, Todd Bridges",6.9,45min,"A short film about the rise, fall and rise of child star Todd Bridges (Arnold (1978))."
tt0176783,Davis Guggenheim,"Gregory Poirier, Theresa Rebeck",5.9,1h 30min,
tt0177195,Clinton Smith,"Clinton Smith, Peter Buckmaster, Anthony O'Connor",4.1,1h 37min,"This edgy Australian film stars an ensemble cast headed up by pop superstar Kylie Minogue, David Field, and Simon Lyndon. Various characters interact under strange circumstances, calling to mind movies such as GO and PULP FICTION."
tt0177971,Wolfgang Petersen,"Sebastian Junger, William D. Wittliff",6.5,2h 10min,
tt0177888,Seth Zvi Rosenfeld,Seth Zvi Rosenfeld,5.9,1h 39min,"Seymour's happy New York existence comes to a tragic end after he witnesses the murder of his mother, a renowned civil rights activist. When he finds a firearm in the home of his best friend, he embarks on a deranged quest for revenge."
tt0179137,Silvio Caiozzi,"Silvio Caiozzi, José Donoso",7.1,2h 20min,A lonely man becomes increasingly obsessed with the beautiful teenager he used to help care for his grandmother.
tt0177068,Laurence Fishburne,Laurence Fishburne,5.2,1h 47min,"Street hustler Mike cooks up a drug rip-off with his estranged half-brother Torch. Simple robbery turns fatal bloodbath, so they hide out in a claustrophobic rat hole waiting for Mike's buddy Tony, who's ""out of the life,"" or so he says."
tt0178050,Adam Collis,"Randall Jahnson, Russell De, Grazier",5.6,1h 30min,"A comedy that takes place over twenty-four hours on the Sunset Strip, in 1972."
tt0179473,Dwight Yoakam,"Dwight Yoakam, Dennis Hackin, Otto Felix",4.1,2h 11min,"A U.S. Marshal tracks a destructive clan of outlaws, while a government man claims that the Marshal is actually a ghost of his deceased self."
tt0179861,David Giancola,David Giancola,3.6,1h 30min,At the the Killington ski resort something has gone awry. Evil terrorists led by the sinister Greig have taken the resort hostage with a stolen nuclear device. It's up to Ski Patrol bum Matt Foster to save the day... and his fiancé.
tt0179443,Edward Thomas,James Hawes,3.5,1h 31min,Pete in London inherits a company. The ambitious accountant makes a deal with a Russian mafia boss. The Russian wants hard currency and grand-kids but kills his daughter's lovers. His daughter needs an Englishman like Sir Francis Drake.
tt0180093,Darren Aronofsky,Hubert Selby Jr.Darren Aronofsky,8.3,1h 42min,
tt0180073,Philip Kaufman,Doug Wright,7.2,2h 4min,
tt0179653,Nick Efteriades,Nick Efteriades,7.1,1h 43min,"In Queens, NY, aka ""Little Athens,"" a blue-collar Greek-American family struggle to hold on to the American Dream. Follow the journey of 28-year-old Alex and his desire to escape his urban hometown to pursue an off-beat dream."
tt0181311,"Mary Mc, Guckian","John Lynch, Mary Mc, Guckian",5.6,1h 42min,
tt0181819,Richard Hobert,Richard Hobert,5.7,1h 54min,"Mikael turns 50 and celebrates big time, inviting all his friends to a gigantic party. He has a secret he intends to announce during the party."
tt0180837,Bruno Barreto,"Alexandre Machado, Sérgio Sant'Anna, Fernanda Young",6.3,1h 35min,A separated attorney in Rio sees an English teaching American widow and tries to woo her.
tt0181865,Steven Soderbergh,"Simon Moore, Stephen Gaghan",7.6,2h 27min,
tt0181945,John D. Hancock,Dorothy Tristan,5.5,1h 46min,
tt0183056,Arnaud Desplechin,"Arnaud Desplechin, Emmanuel Bourdieu, Arthur Symons",6.8,2h 37min,"A Jewish girl in nineteenth century London, dreams of becoming a stage actress."
tt0183280,John Putch,James Morley IIIKeoni Waxman,3.3,1h 30min,"When a tsunami created by a nuclear explosion capsizes a cruise ship, a special agent must help the surviving passengers reach the surface when it becomes apparent that there's a group of terrorists on board."
tt0183639,C. Grant Mitchell,"David A. Goodman, Daniel Riordan, Robert Louis Stevenson",4.5,1h 34min,The story of Frank Cassilis and Northmour as both seemingly try to protect the Huddlestone family against mexican separatists while each has their own purposes and agenda.
tt0183659,Ed Harris,"Steven Naifeh, Gregory White Smith, Barbara Turner",7.0,2h 2min,
tt0180683,Matthew Miele,"Chris Fetchko, Matthew Miele",5.9,1h 32min,A homeless man takes a newly homeless man under his wing and teaches him how to survive on the streets.
tt0181536,Gus Van Sant,Mike Rich,7.3,2h 16min,
tt0183550,Mark Lamprell,Mark Lamprell,6.4,1h 35min,"When a meddlesome mother enrolls in university with her son, old and new worlds collide with awesome consequences."
tt0183423,Kennedy Goldsby,Kennedy Goldsby,3.8,1h 29min,"Four friends all going a painful breakup, know too much about each other, and the hostility they've been expressing gets turned toward each other."
tt0182508,Jon Shear,"Daniel Reitz, Jon Shear",6.8,1h 43min,A series of urban legends take place around the life of a troubled man who is searching New York City for a mysterious stranger.
tt0181875,Cameron Crowe,Cameron Crowe,7.9,2h 2min,
tt0181984,Ben Younger,Ben Younger,7.0,2h,
tt0183808,Oz Scott,William Rehor,4.9,1h 38min,"A con-artist hires two low-lifes to cover him during a deal, ending with three criminals, two dueling pistols, and one night they'll never forget."
tt0184056,Rémi Lange,"Rémi Lange, Antoine Parlebas",7.3,1h 25min,Antoine and Rémi have been living together for over three years. Rémi films their life using a Super 8 camera.
tt0183946,Matthias X. Oberg,"Tim Dabringhaus, Matthias X. Oberg",5.5,1h 31min,"Black comedy feature about a young undertaker, starting his own firm in a seaside resort."
tt0184858,John Frankenheimer,Ehren Kruger,5.8,1h 44min,
tt0185215,Eric Barbier,Eric Barbier,6.3,1h 25min,"After having been in jail, Manuel becomes a bullfighter following dangerously his father's steps."
tt0186221,Karl W. Lohninger,Karl W. Lohninger,7.8,1h 33min,A young couple faces its darker sides when the prospective buyers of their house offer more than what was asked for.
tt0186183,Anthony Waller,"Simon Burke, William Davies",6.1,1h 48min,
tt0187880,Mika Kaurismäki,"Paul Charles Bailly, Mika Kaurismäki",5.7,1h 30min,The mechanic Jack tries to get rid of his criminal background.
tt0186151,Gregory Hoblit,Toby Emmerich,7.4,1h 58min,
tt0187393,Roland Emmerich,Robert Rodat,7.2,2h 45min,
tt0186975,Kris Isacsson,Kris Isacsson,5.0,1h 31min,"College students Al and Imogen meet and fall in love, but fear of commitment causes them to go their separate ways."
tt0185014,Curtis Hanson,"Michael Chabon, Steve Kloves",7.2,1h 47min,
tt0187474,Patricia Mazuy,"Yves Dangerfield, Philippe Lauro-Baranes, Patricia Mazuy",6.0,1h 59min,"Madame de Maintenon rises from humble beginnings to become a courtesan to the royal court and eventually marries King Louis XIV. With the king's indulgence, Maintenon opens a special school for girls."
tt0186719,Catherine Jelski,"Wolfgang Bauer, Catherine Jelski",4.1,1h 27min,"Charlie, his sexy girlfriend, and his moronic best friend drink, drug, and self-destruct over the course of one day at the home of Charlie's father in Los Angeles."
tt0186549,Linda Yellen,"Linda Yellen, Michael Leeds, Gisela Bernice",5.4,1h 46min,"In addition to declaring that Katharine's (Lynn Redgrave) head and heart line are hopelessly fused into one ""simian line"", eccentric palm reader/fortune-teller Arnita (Tyne Daly) makes a dire prediction: By the end of the year, one of the couples present at a Halloween party will have broken up. But will it be Katharine and her much-younger boyfriend Rick (Harry Conni... Leer todo"
tt0186894,Don Roos,Don Roos,5.8,1h 46min,
tt0186454,Art Camacho,"David De, Falco",3.7,1h 40min,"A Hollywood talent agent's girlfriend thrusts him into a world of strip clubs, drugs and deadly motorcycle gangs."
tt0187847,Charlie Ahearn,Charlie Ahearn,6.5,1h 39min,"A young novelist with a bad case of writer's block clears her mind by answering an ad placed by a man who is driving cross-country and needs a partner. Along the way, she ends up with more writing material than she ever bargained for."
tt0188160,Carlos Avila,Phil Berger,6.1,1h 58min,
tt0188189,S. Leo Chiang,S. Leo Chiang,6.6,15min,"The Kid has no money, no place to live and nowhere to go. He's done more than he cares to admit just to survive on the streets.The Man has lost the one he loved. He is losing his eyesight. He's selling all his possessions so nothing will be left to lose. Both are trapped, each alone until Fate brings them together one windy autumn night."
tt0188135,Auli Mantila,"Auli Mantila, Anja Snellman",5.5,1h 35min,"When her sister is mugged and raped, Oili, a young female forensic dentist, meets a group of abused women who have taken matters to their own hands to make the living in fear and just letting it happen stop."
tt0188518,Gavin Millar,"Iain Banks, Bryan Elsley",5.8,1h 39min,"Cameron Colley is a young scottish journalist, with an interest in exposing the wrongs committed by the rich and powerful. Life is comfortable enough but uneventful, until someone starts murdering the people in his articles."
tt0188613,Guylaine Dionne,Guylaine Dionne,6.3,1h 21min,Three generations of women in a French family come to know each other better as they road trip for a photography assignment.
tt0188490,Will Conroy,,6.6,1h 32min,A young man is forced to choose between his fianceé and his family's hotel.
tt0188688,Mike Sedan,Helen Haxton,4.6,1h 18min,"Donna is unfulfilled. In an unsatisfying marriage, she finds herself fantasizing about her sultry friends' lovers. But for her, fantasy and forbidden desires are about to be reawakened. Each morning, she will find herself in the arms of a new lover, while her sexy friends seduce her husband, Tom in more ways than one. The art of seduction is animalistic. In a world ob... Leer todo"
tt0189509,Ruy Guerra,"Chico Buarque, Janaina Diniz Guerra, Ruy Guerra",5.4,1h 35min,The journey of a middle-class amateur.
tt0190052,Kelley Cauthen,Sahara Riley,4.2,1h 34min,"A beautiful woman has a sexual fantasy that she passes on. Then she is visited by a supernatural being, and things start to get more interesting."
tt0190994,Randy Bradshaw,Ian Adams,4.6,1h 37min,"A serial murderer of teenage girls is loose, and working the case are a possibly corrupt detective Lou Miles a probably corrupt chief inspector Brodsky and his ""favorite snitch."" Dark personal histories and current politics mix to get the ambitious DA and her investigator involved."
