primaryName,birthYear,deathYear,primaryProfession,knownForTitles
John Rhys-Davies,1944,\N,"actor,sound_department,producer","tt0167261,tt0120737,tt0167260,tt0082971"
Olivier Martinez,1966,\N,actor,"tt0364045,tt0250797,tt2101473,tt0257076"
Michelle Forbes,1965,\N,actress,"tt1951266,tt0116225,tt0844441,tt0107302"
Assumpta Serna,1957,\N,"actress,producer,director","tt0091495,tt0100934,tt0115963,tt7035468"
Donnie Wahlberg,1969,\N,"actor,producer,soundtrack","tt0117438,tt0285531,tt0432348,tt0455760"
George Clooney,1961,\N,"actor,producer,director","tt0465538,tt1033575,tt1193138,tt1124035"
Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt0407887,tt0964517,tt0118749,tt1637725"
John C. Reilly,1965,\N,"actor,writer,producer","tt0118749,tt0299658,tt0841046,tt2015381"
Diane Lane,1965,\N,"actress,soundtrack","tt2096673,tt0250797,tt0086066,tt0328589"
Christopher Lambert,1957,\N,"actor,producer,writer","tt0091203,tt0113855,tt0120604,tt0106950"
Beth Toussaint,1962,\N,actress,"tt0092455,tt0421239,tt0105946,tt0134084"
Willie Garson,1964,2021,"actor,director,producer","tt1600194,tt1000774,tt1358522"
Aidan Ostrogovich,\N,\N,"camera_department,actor","tt1196946,tt2274570,tt2389182,tt3255590"
Moussa Maaskri,1962,\N,"actor,writer","tt1167638,tt2404311,tt10696896,tt0179987"
Antoine Maulini,\N,\N,actor,tt0179987
Emma de Caunes,1976,\N,"actress,director,producer","tt0401383,tt0453451,tt0354899,tt0120405"
Anton Kouznetsov,\N,2013,actor,"tt1321865,tt0179987,tt1661320,tt0123013"
Sean Astin,1971,\N,"actor,producer,director","tt0167261,tt0167260,tt0120737,tt0089218"
Bruce Campbell,1958,\N,"actor,producer,director","tt4189022,tt0281686,tt0106308,tt0083907"
Stacy Keach,1941,\N,"actor,producer,director","tt1821549,tt0116225,tt0078446,tt1194173"
Suzanne Turner,\N,\N,"actress,miscellaneous","tt1073507,tt0411008,tt0818098"
James Coburn,1928,2002,"actor,producer,director","tt0074695,tt0057115,tt0056923,tt0054047"
Costas Mandylor,1965,\N,actor,"tt1132626,tt0114857,tt1233227,tt0890870"
Finola Hughes,1959,\N,"actress,producer,director","tt1758692,tt0056758,tt0086361,tt0065272"
Alex Hyde-White,\N,\N,"actor,producer,director","tt0100405,tt0264464,tt0097576,tt0109770"
Rob Lowe,1964,\N,"actor,producer,soundtrack","tt0105793,tt0090060,tt0086066,tt0145660"
Thomas Haden Church,1960,\N,"actor,miscellaneous,producer","tt0413300,tt10872600,tt1282140,tt0375063"
Paget Brewster,1969,\N,"actress,soundtrack,producer","tt0452046,tt1439629,tt14500082,tt9827854"
Jordan Ladd,1975,\N,actress,"tt0303816,tt0331953,tt1028528,tt0151738"
Samy Naceri,1961,\N,"actor,soundtrack","tt0183869,tt0295721,tt0804540,tt0152930"
Frédéric Diefenthal,1968,\N,"actor,producer","tt0152930,tt0804540,tt0183869,tt0295721"
Emma Wiklund,1968,\N,actress,"tt0183869,tt0804540,tt0295721,tt0152930"
Marion Cotillard,1975,\N,"actress,soundtrack,producer","tt2053425,tt0450188,tt1375666,tt2737050"
Ben Affleck,1972,\N,"producer,actor,writer","tt0840361,tt0119217,tt2267998,tt1024648"
Gary Sinise,1955,\N,"actor,producer,director","tt0109830,tt0112384,tt0117438,tt0105046"
Charlize Theron,1975,\N,"producer,actress,soundtrack","tt1392190,tt5610554,tt0340855,tt1735898"
James Frain,1968,\N,actor,"tt5171438,tt0844441,tt0758790,tt1104001"
Jackie Chan,1954,\N,"producer,actor,stunts","tt0089374,tt0127357,tt0120812,tt0266915"
Owen Wilson,1968,\N,"actor,producer,writer","tt0115734,tt0335438,tt0396269,tt0265666"
Lucy Liu,1968,\N,"actress,director,producer","tt0266697,tt0305357,tt0160127,tt0299658"
Brandon Merrill,\N,\N,actress,tt0184894
Gabrielle Fitzpatrick,1967,\N,actress,"tt0113820,tt0411008,tt0184457,tt0117786"
Phillip Rhys Chaudhary,\N,\N,"actor,director,producer","tt19637538,tt0285331,tt6470478,tt1258189"
Robert Culp,1930,2010,"actor,writer,director","tt0081871,tt0068698,tt0374692,tt0058816"
Ed Lauter,1938,2013,actor,"tt0085382,tt0074751,tt0089886,tt0277371"
Clint Eastwood,1930,\N,"actor,producer,director","tt0112579,tt0105695,tt0405159,tt1205489"
Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0106977,tt0443272,tt2398231,tt0477348"
Donald Sutherland,1935,\N,"actor,soundtrack,producer","tt0067309,tt1951265,tt1951264,tt0414387"
James Garner,1928,2014,"actor,producer,soundtrack","tt0186566,tt0071042,tt0332280,tt0057115"
Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0117438,tt0118883,tt0112573"
Heath Ledger,1979,2008,"actor,director,soundtrack","tt0147800,tt0183790,tt0388795,tt0468569"
Joely Richardson,1965,\N,"actress,producer,soundtrack","tt1881002,tt0361217,tt0187393,tt1932718"
Jason Isaacs,1963,\N,"actor,producer,animation_department","tt4686844,tt0187393,tt0295297,tt11389748"
William Baldwin,1963,\N,"actor,producer,stunts","tt0367089,tt0101393,tt0113010,tt0108162"
Brigitte Bako,1967,\N,"actress,writer,producer","tt0177443,tt0456778,tt0107179,tt0114558"
Lee Majors,1939,\N,"actor,music_department,producer","tt0081859,tt0058791,tt0071054,tt0096061"
Vincent Castellanos,1962,\N,"actor,miscellaneous","tt0166924,tt0118615,tt0295427,tt0115986"
John Travolta,1954,\N,"actor,soundtrack,producer","tt0077631,tt0113161,tt0110912,tt0076666"
Forest Whitaker,1961,\N,"actor,producer,director","tt1825683,tt1327773,tt0455590,tt0185183"
Barry Pepper,1970,\N,"actor,producer,executive","tt1403865,tt8364368,tt0120689,tt0431377"
Kim Coates,1958,\N,"actor,producer","tt6423364,tt5516154,tt1456635,tt1124373"
Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0435705,tt0113627,tt0117500,tt0119094"
Angelina Jolie,1975,\N,"actress,producer,director","tt0944835,tt0824747,tt1587310,tt0172493"
Giovanni Ribisi,1974,\N,"actor,producer,cinematographer","tt0219699,tt0181984,tt0346156,tt0499549"
T.J. Cross,\N,\N,actor,"tt5285568,tt0280486,tt0284490,tt0187078"
Richard Grieco,1965,\N,"actor,producer,director","tt0102095,tt0120770,tt4702194,tt8804580"
Andrew Dice Clay,1957,\N,"actor,producer,writer","tt0098987,tt1674771,tt1517451,tt2334873"
Angie Everhart,1969,\N,"actress,producer","tt0297012,tt0117826,tt0810922,tt0107362"
John Enos III,1962,\N,"actor,writer",tt0183649
Justin Whalin,1974,\N,actor,"tt1161064,tt0190374,tt0111127,tt0103956"
Jeremy Irons,1948,\N,"actor,soundtrack,producer","tt0094964,tt0119558,tt2094766,tt0110357"
Zoe McLellan,1974,\N,"actress,soundtrack","tt1526585,tt0190374,tt0113862,tt5296406"
Bruce Payne,\N,\N,"actor,producer,writer","tt0144964,tt4124980,tt0090585,tt0105104"
Kirk Cameron,1970,\N,"actor,writer,soundtrack","tt0190524,tt1129423,tt0088527,tt4009460"
Brad Johnson,1959,2022,"actor,soundtrack","tt0106081,tt0096794,tt0190524,tt0107819"
Janaya Stephens,\N,\N,actress,"tt1059475,tt0269677,tt0427470,tt0452608"
Clarence Gilyard Jr.,1955,2022,"actor,soundtrack,director","tt0092099,tt0190524,tt0095016,tt0106168"
Chow Yun-Fat,1955,\N,"actor,writer,soundtrack","tt0473444,tt0190332,tt1098327,tt0120008"
Michelle Yeoh,1962,\N,"actress,producer,writer","tt3104988,tt6710474,tt0190332,tt0120347"
Ziyi Zhang,1979,\N,"actress,producer,soundtrack","tt0397535,tt1462900,tt0190332,tt0385004"
Chang Chen,1976,\N,"actor,producer","tt13598976,tt0101985,tt0425637,tt0190332"
Joshua Jackson,1978,\N,"actor,director,producer","tt2699110,tt1119644,tt0118300,tt0109520"
Paul Walker,1973,2013,"actor,producer,miscellaneous","tt1013752,tt0404390,tt0232500,tt2820852"
Hill Harper,1966,\N,"actor,producer,writer","tt0395843,tt2388621,tt0124718,tt0192614"
Leslie Bibb,1973,\N,"actress,producer,soundtrack","tt1197624,tt1129427,tt1228705,tt0371746"
Scott Glenn,1939,\N,"actor,producer,stunts","tt0101393,tt0102926,tt0099810,tt1194173"
Chris O'Donnell,1970,\N,"actor,producer,director","tt0190865,tt0118688,tt0108333,tt0105323"
Bill Paxton,1955,2017,"actor,producer,writer","tt0117998,tt0264616,tt0112384,tt0090605"
Robin Tunney,1972,\N,"actress,soundtrack","tt0115963,tt0112950,tt0190865,tt0146675"
Cas Jansen,1977,\N,"actor,soundtrack","tt0382365,tt0096597,tt6840014,tt0194104"
Ricky Koole,1972,\N,actress,"tt0194104,tt0116759,tt1138481,tt0116729"
Thomas Acda,1967,\N,"actor,soundtrack,writer","tt5544138,tt23666832,tt13000122,tt9128874"
Victor Löw,1962,\N,"actor,writer,producer","tt0194104,tt0109808,tt15025142,tt0119448"
Stuart Sinclair Blyth,1976,\N,actor,"tt0159401,tt0383130,tt0193701,tt0371902"
Gavin Kelty,\N,\N,actor,"tt0193701,tt0165773,tt0120706,tt0488121"
Aisling O'Neill,1974,\N,actress,"tt21822590,tt0430912,tt0170930,tt15339952"
Sorcha Gleadhill,\N,\N,actress,tt0193701
Michael Rooker,1955,\N,"actor,producer,director","tt0099763,tt0439815,tt2015381,tt3896198"
Judge Reinhold,\N,\N,"actor,soundtrack,producer","tt0092644,tt0086960,tt0083929,tt0111070"
Robert Culp,1930,2010,"actor,writer,director","tt0081871,tt0068698,tt0374692,tt0058816"
Kelly Miracco,\N,\N,actress,"tt0103466,tt0096606,tt0119190,tt0322389"
Michael Bergin,1969,\N,"actor,producer,miscellaneous","tt0096542,tt0195308,tt0139056,tt0222850"
Amy Weber,\N,\N,"actress,producer,camera_department","tt0247082,tt0417220,tt0126787,tt0960835"
Vernon Wells,1945,\N,"actor,producer,director","tt0093260,tt0082694,tt0088944,tt0090305"
Andy Garrison,\N,\N,actor,"tt0118364,tt0195308,tt0096560,tt0119925"
Ilja Jakerson,\N,\N,actor,"tt0119249,tt0283381,tt0103523,tt0196614"
Allan Svensson,1951,\N,"actor,director","tt1821624,tt0208198,tt0120253,tt1129398"
Therese Grankvist,1977,\N,"soundtrack,actress","tt0388233,tt0196614"
Vladimir Dikanski,1952,\N,"actor,composer","tt2750688,tt0196614,tt0208198,tt0354131"
Ice-T,1958,\N,"actor,producer,soundtrack","tt0114614,tt0203259,tt0111323,tt0102526"
Ernie Hudson Jr.,\N,\N,"actor,producer","tt0165662,tt0118421,tt0270560,tt0196181"
T.J. Storm,1972,\N,"actor,miscellaneous,stunts","tt1431045,tt3741700,tt0450314,tt6528290"
David Askew,\N,\N,"actor,soundtrack","tt0058796,tt0196219,tt0272843,tt0139803"
Rob Lowe,1964,\N,"actor,producer,soundtrack","tt0105793,tt0090060,tt0086066,tt0145660"
Larisa Miller,\N,\N,actress,"tt0197072,tt0790772,tt0460627,tt0120694"
Harry Van Gorkum,\N,\N,"actor,miscellaneous,writer","tt0313911,tt0838232,tt1538403,tt0118688"
Craig Wasson,1954,\N,"actor,soundtrack,writer","tt0086984,tt0104797,tt0093629,tt0082404"
Jalal Merhi,\N,\N,"producer,director,writer","tt3689768,tt0105592,tt0105530,tt1559330"
Cynthia Rothrock,1957,\N,"actress,producer,director","tt8840400,tt3393762,tt0099260,tt9626986"
Loren Avedon,1962,\N,"actor,stunts,producer","tt0097991,tt0102217,tt0118944,tt0114447"
Carter Wong,1947,\N,"actor,assistant_director,stunts","tt0095956,tt0090728,tt0068676,tt0081016"
Daniel Bernhardt,1965,\N,"actor,stunts,director","tt0234215,tt2406566,tt1904996,tt2911666"
Marina Mogilevskaya,1970,\N,"actress,writer","tt0107015,tt5153946,tt0197299,tt0426289"
Aleksei Begas,\N,\N,actor,tt0197299
Michail Bekoev,\N,\N,actor,tt0197299
Jamie Taylor,1977,\N,"actress,stunts,producer","tt0211443,tt0197104,tt0219169,tt0433366"
James Gammon,\N,\N,actor,"tt0197104,tt0196768,tt0433366"
Danielle Williams,\N,\N,actress,"tt0197104,tt0433366"
Rachela Williams,1967,2001,"actress,writer,producer","tt0197104,tt0196768,tt0271649,tt0216926"
Val Kilmer,1959,\N,"actor,soundtrack,producer","tt0101761,tt0120053,tt0373469,tt0235737"
Carrie-Anne Moss,1967,\N,"actress,producer","tt0457572,tt0133093,tt0209144,tt0242653"
Tom Sizemore,1961,2023,"actor,producer,writer","tt0120815,tt0120004,tt0199753,tt0265086"
Benjamin Bratt,1963,\N,"actor,producer,director","tt2380307,tt0181865,tt0212346,tt0098844"
Cynthia Rothrock,1957,\N,"actress,producer,director","tt8840400,tt3393762,tt0099260,tt9626986"
Loren Avedon,1962,\N,"actor,stunts,producer","tt0097991,tt0102217,tt0118944,tt0114447"
Brendan Kelly,\N,\N,actor,"tt1977002,tt0199748"
Steve Tartalia,\N,\N,"stunts,actor,miscellaneous","tt0938283,tt0974661,tt0386140,tt0449088"
Craig Sheffer,1960,\N,"actor,producer,director","tt0106912,tt0105265,tt0100260,tt0094006"
Terry Farrell,1963,\N,"actress,soundtrack","tt0174378,tt0106145,tt0104409,tt0090685"
Bruce McGill,1950,\N,"actor,soundtrack","tt1197624,tt0111438,tt0077975,tt0140352"
Harry Van Gorkum,\N,\N,"actor,miscellaneous,writer","tt0313911,tt0838232,tt1538403,tt0118688"
Eric Roberts,1956,\N,"actor,producer,soundtrack","tt1791528,tt0468569,tt0089941,tt1320253"
Bryan Genesse,1964,\N,"actor,miscellaneous,writer","tt0246446,tt0101209,tt0203835,tt0118864"
Ice-T,1958,\N,"actor,producer,soundtrack","tt0114614,tt0203259,tt0111323,tt0102526"
Michael Madsen,1957,\N,"actor,producer,writer","tt0105236,tt0119008,tt0266697,tt0103074"
Ray Liotta,1954,2022,"actor,producer,soundtrack","tt0091983,tt0099685,tt0272207,tt0365686"
Gloria Reuben,1964,\N,"actress,music_department,producer","tt0443272,tt1814621,tt1462059,tt4158110"
Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0117631,tt0765443,tt0963178,tt0139809"
Daniel Kash,1959,\N,"actor,director,producer","tt0090605,tt0848557,tt1234721,tt2023587"
Ryan Phillippe,1974,\N,"actor,producer,director","tt0375679,tt0120577,tt0139134,tt0280707"
Benicio Del Toro,1967,\N,"actor,producer,director","tt0114814,tt3397884,tt2015381,tt0181865"
Juliette Lewis,1973,\N,"actress,soundtrack,director","tt0116367,tt1322269,tt0110632,tt0101540"
Taye Diggs,1971,\N,"actor,producer,soundtrack","tt0238380,tt0299658,tt0185371,tt0294870"
Frank Zagarino,1959,\N,"actor,producer,director","tt0114192,tt0110901,tt0105178,tt0117396"
Kayle Watson,\N,\N,"actor,stunts","tt0118569,tt0205722,tt0112764,tt0192962"
Caroline Strong,\N,\N,actress,"tt4158110,tt4118584,tt3749900,tt10327412"
J. Christian Ingvordsen,1957,\N,"producer,writer,director","tt0093142,tt0204223,tt0107763,tt0101608"
Lars-Erik Berenett,1942,2017,"actor,writer,soundtrack","tt0208198,tt2071471,tt4598282,tt0094493"
Regina Lund,1967,\N,"actress,soundtrack","tt0219139,tt0137212,tt0103523,tt0265232"
Björn Gedda,1942,\N,actor,"tt0208198,tt0492862,tt0149518,tt1790954"
Catherine Hardenborg,\N,\N,actress,"tt0208198,tt0262418"
