,0,1,2,3,4,5
294,tt0233509,drama,Cyclomania,movie,2001,3
295,tt0235796,drama,Det største i verden,movie,2001,8
296,tt0233481,drama,Cookers,movie,2006,4
297,tt0236157,drama,Disco Pigs,movie,2001,10
298,tt0234829,drama,Summer Catch,movie,2001,8
299,tt0236474,drama,Margarita Happy Hour,movie,2001,1
300,tt0235412,drama,Gaudi Afternoon,movie,2002,5
301,tt0236784,drama,The Tailor of Panama,movie,2001,3
302,tt0237239,drama,Film Lovers Are Sick People,short,2001,
303,tt0237320,drama,Hunger,movie,2007,
304,tt0237572,drama,The Pledge,movie,2001,11
305,tt0238112,drama,Captain Corelli's Mandolin,movie,2001,9
306,tt0238462,drama,Nobel,movie,2001,11
307,tt0238137,drama,Tangled,movie,2001,11
308,tt0239509,drama,Julie Johnson,movie,2001,1
309,tt0240122,drama,Tosca,movie,2001,11
310,tt0239938,drama,Santa Cristal,movie,X,
311,tt0240043,drama,Giravolte,movie,2001,11
312,tt0239570,drama,All About You,movie,2001,8
313,tt0239764,drama,Our Journey,short,2001,2
314,tt0240419,drama,La Ciénaga,movie,2001,4
315,tt0241470,drama,After April,movie,X,
316,tt0241223,drama,The Bank,movie,2001,9
317,tt0239831,drama,La precisione del caso,movie,2001,6
318,tt0240149,drama,Une hirondelle a fait le printemps,movie,2002,4
319,tt0241498,drama,The Gristle,movie,2004,5
320,tt0241802,drama,Paralelní svety,movie,2001,3
321,tt0242335,drama,Bui Doi,movie,X,
322,tt0243255,drama,À ma soeur!,movie,2002,3
323,tt0242981,drama,Un aller simple,movie,2001,5
324,tt0243017,drama,Waking Life,movie,2002,3
325,tt0243232,drama,Dust,movie,2002,4
326,tt0242508,drama,Harvard Man,movie,2001,8
327,tt0243222,drama,The Doe Boy,movie,2001,1
328,tt0243617,drama,TreatShack,movie,X,
329,tt0242193,drama,Bully,movie,2001,12
330,tt0243278,drama,Going Back,movie,2009,10
331,tt0242994,drama,Va savoir,movie,2002,2
332,tt0244072,drama,Mi dulce,movie,2001,5
333,tt0243059,drama,Cahoots,movie,2001,2
334,tt0243155,drama,Bridget Jones's Diary,movie,2001,6
335,tt0243806,drama,Tra due mondi,movie,2001,5
336,tt0243569,drama,Sólo por hoy,movie,2001,6
337,tt0245090,drama,Edges of the Lord,movie,2001,10
338,tt0245317,drama,The Next Big Thing,movie,2001,11
339,tt0246005,drama,Klassikko,movie,2001,2
