0,1,2,3,4,5
tt0419168,Ryan Combs,"Marcus Bleecker, Ryan Combs",4.2,1h 37min,"The Hit is the sequel to cult favorite Straight Out of Compton, in which Blair Underwood stars as Hen, an up-and-coming record executive whose goal is to bring all rival rap record labels together and form one black-owned label that gives back to the community. While building this label he crosses paths with the Mob. Suddenly he's not just fighting for his business - ... Leer todo"
tt0419656,Eduardo Lucatero,Eduardo Lucatero,7.4,1h 47min,Dirección
tt0419083,Slobodan Sijan,"Milos M. Radovic, Slobodan Sijan",4.8,1h 51min,"The plot of this film can be viewed from a two different levels. The first is universal and deals with the psychological theme of need for competition in the group, highlighting the need for the victory, which in life usually does not depend on the true virtues of the winner, so the result is usually tragicomic. The story talks about the choice of the most noble work.... Leer todo"
tt0419843,Jonathan Kasdan,Jonathan Kasdan,6.4,1h 37min,
tt0420974,Henry Barrial,Henry Barrial,8.4,1h 35min,"Three LA couples--one at the beginning of their relationship, one on the outs, and one in the middle--must deal with the harsh realities of modern companionship."
tt0421082,Anton Corbijn,"Deborah Curtis, Matt Greenhalgh",7.6,2h 2min,
tt0420055,"Damon Diddit, Natural Langdon","Damon Diddit, Natural Langdon",5.1,1h 47min,Four strangers confined to a mysterious room are forced to interrogate each other about their demise after a successful heist takes.
tt0422981,Karin Babinská,Karin BabinskáPetra Uselová,5.9,1h 30min,"Iska, Karolína, and Vendula are eighteen-year-old girls who have just graduated from high school. Not wanting to let go of their carefree student lives or their friendship, they plan to hitchhike to Holland, where they've arranged to work on a farm for three months. But Vojta, Iska's little brother and her father's right hand man, joins the trio against their will. He... Leer todo"
tt0422783,Steven Sawalich,"Bret Mc, Kinney, Mark Andrew Olsen, Kelly Kennemer",7.2,1h 34min,"Richard Pimentel began his life as a fighter, and his life's work became fighting for the rights of others. After losing his hearing in Nam, he overcame his handicap and used his public speaking skills to inspire injured war veterans."
tt0425990,Stéphan Carpiaux,"Stéphan Carpiaux, Laurent Denis",5.8,1h 35min,"A teenager who runs with her father a filling station struggles to find her own path of life, since she is too much involved into her father's life since the death of her mother."
tt0426114,Chris Solimine,"Andrey Konchalovskiy, Chris Solimine",4.9,1h 32min,"A loner American computer hacker is brought to Russia to commit bank fraud, only to find a family and love in the incomprehensible, violent, and chaotic Moscow underworld."
tt0423977,Jon Poll,Gustin Nash,6.9,1h 37min,
tt0425546,Trevor Steven Smith,Trevor Steven Smith,5.3,2007,Dirección
