0,1,2,3,4,5
tt0985058,Tarik Saleh,"Truls Andersen, Fredrik Edin, Martin Hultman",6.2,1h 26min,"A complex story of a misaligned man, though good intent, creating a nightmarish Dystopian existence."
tt0990359,Pierre Laffargue,"Lucio Mad, Gábor Rassov, Marco Cherqui",5.2,1h 55min,"A Senegalese bank-robber born and raised in France is getting over a disastrous heist. As he considers going straight, his cousin calls him from Dakar with an easy opportunity."
tt0989007,Henrique Goldman,"Henrique Goldman, Marcelo Starobinas",6.3,1h 33min,"The tragic true story of Jean Charles de Menezes, the innocent Brazilian shot dead by British police in 2005 at the height of the London terrorist alerts."
tt0991041,Rudi Gaul,"Rudi Gaul, Heiko Voss",7.0,1h 48min,A woman in the situation of isolation.
tt0991174,Jeff Balsmeyer,Mike Cram,5.7,1h 25min,"A rags-to-riches story of two friends, a small-time inventor and a sharky salesman, who hit rock bottom before coming up with a gizmo that becomes a worldwide phenomenon."
tt0995851,Simone North,Simone North,6.4,1h 47min,"This is what every parent fears: their child not coming home when they're meant to. When the fifteen-year-old student, Rachel Barber, doesn't climb off the tram to meet her dad, Elizabeth, her mother, and Mike, her dad, bolt into action."
tt0994765,"Matt Smith, Matt Walerstein",Matt Walerstein,,,"When an ""overweight"" former supermodel is forced to lose weight to resurrect her dying career, she falls in love with her trainer, a wannabe Hollywood socialite, and plunges him headlong into the hollow world of sex, drugs, and being beautiful."
tt0995850,Margarethe von Trotta,Margarethe von Trotta,6.5,1h 50min,"The life story of the multi-talented German nun Hildegard von Bingen. The film portrays an original woman - best known as a composer and religious visionary - whose grand claims often run counter to the patriarchal world around her. The monks and nuns at the convent become a kind of family, offering both confidants and enemies. For example Jutta, struggling with her j... Leer todo"
tt0997212,Randall Gifford,Randall Gifford,9.6,1h 8min,"Alan, a trust-fund twenty-something activist and proud malcontent opens a Native American themed coffee shop on tribal land with his life partner believing that he himself is a quarter Navajo. His life is thrown into turmoil when he finds out that he is white. Alan's father comes into town at his lowest point, Pane, casts a long shadow over the family, as dominating p... Leer todo"
tt0997263,Alexis Dos Santos,"Alexis Dos Santos, Marianela Maldonado",6.4,1h 37min,The quirky story of Vera and Axl who both live in the same London warehouse but whose paths never cross until fate steps in.
tt0997057,Richard Laxton,Brian Fillis,7.2,1h 15min,The later years of Quentin Crisp's life in New York City.
tt0999963,"Alexei Kaleina, Craig William Macneill","Alexei Kaleina, Craig William Macneill",7.5,1h 27min,"A young couple moves into an old schoolhouse on a desolate stretch of farm country. Hoping for a new beginning, their lives are instead drawn toward dark and unforeseen ends."
tt1001534,"Fraydun Manocherian, Fred Manocherian","Fraydun Manocherian, Fred Manocherian",5.2,1h 28min,"Hilarity ensues when a handsome businessman goes undercover in New York City as a ""Homeless Billionaire."""
tt1001490,Mark Ezovski,Mark Ezovski,6.7,2009,"Based on actual events, ""Across Dot. Ave."" is the story of Kevin Hearns, a former skinhead punk, now a successful New York City stockbroker. He is forced to confront the violence of his past life when he returns to the tough streets of Dorchester, MA, a notorious South Boston burg."
tt1001540,Slava Tsukerman,Slava Tsukerman,4.3,1h 37min,"Top astrophysicist Sasha Greenberg has spent the past 17 years working in the United States. An invitation to speak at a Congress on Cosmology in his native Moscow brings him home for the first time to confront colleagues, and unanswered personal questions. As Russia undergoes perestroika, public and private lives are radically re-assessed and Sasha sees the social an... Leer todo"
tt1001521,April Wright,April Wright,8.5,1h 19min,Richard (Daniel Rhyder) and Tiffany (Stacey Miller) share some painful secrets in a remote airport in this independent drama.
tt1001508,Ken Kwapis,"Abby Kohn, Marc Silverstein, Greg Behrendt",6.4,2h 9min,
tt1002561,Charles Adelman,Mark Thompson,4.8,1h 36min,"A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Now, he must face his own demons along with the killer to save his small eroding existence."
tt1002741,"Sean Dillon, Curtis Krick","Sean Dillon, Curtis Krick",8.5,1h 25min,"The journey of Jill, a white woman, who is soon to marry Terry, a man part of the fictional blue-skinned polar-race from Antarctica"
tt1003034,Ian Fitzgibbon,Mark O'Rowe,6.3,1h 28min,A gangster named Perrier looks to exact his revenge on a trio of fugitives responsible for the accidental death of one of his cronies.
tt0146592,Ágnes Kocsis,"Ágnes Kocsis, Andrea Roberti",6.7,2h 16min,
tt0154039,Miklós Jancsó,Miklós Jancsó,4.6,1h 40min,
tt0162942,Bence Miklauzic,"Balázs Maruszki, Bence Miklauzic, Gábor Németh",6.9,1h 29min,
tt0230212,R.J. Adams,"Diane C. Adams, R.J. Adams, Paul Kirby",8.9,2h,
tt0326965,Allen Wolf,Allen Wolf,5.5,1h 44min,A sleepwalking sexaholic masseur wakes up covered in blood next to a bloody knife with cops ringing his doorbell.
