,id,nombre,tipo,año
317,tt0200809,Life-Size,tvEpisode,2000
318,tt0200669,The Golden Bowl,movie,2000
319,tt0201899,A Rumor of Angels,movie,2000
320,tt0202402,Whatever It Takes,movie,2000
321,tt0203297,"L'amour, l'argent, l'amour",movie,2000
322,tt0203088,Satan's School for Girls,tvMovie,2000
323,tt0202236,Tribulation,movie,2000
324,tt0203632,Der Krieger und die Kaiserin,movie,2000
325,tt0203929,Someone Is Watching,tvMovie,2000
326,tt0202502,No More Monkeys Jumpin' on the Bed,movie,2000
327,tt0203230,You Can Count on Me,movie,2000
328,tt0202072,Vola Sciusciù,tvMovie,2000
329,tt0203835,The Alternate,movie,2000
330,tt0203941,The Spiral Staircase,tvMovie,2000
331,tt0202856,Double Parked,movie,2000
332,tt0203580,Illicit Lovers,movie,2000
333,tt0202677,The Way of the Gun,movie,2000
334,tt0201919,Shadows,short,2000
335,tt0204414,L'invention de l'amour,movie,2000
336,tt0202711,Swimming,movie,2000
337,tt0202641,Two Family House,movie,2000
338,tt0203031,Noriega: God's Favorite,tvMovie,2000
339,tt0203540,Greenfingers,movie,2000
340,tt0204137,Animal Factory,movie,2000
341,tt0204315,Faites comme si je n'étais pas là,movie,2000
342,tt0204055,Wilde mossels,movie,2000
343,tt0204175,Boys and Girls,movie,2000
344,tt0204140,Anna Wunder,movie,2000
345,tt0202595,St. Patrick: The Irish Legend,tvMovie,2000
346,tt0203624,Kiss Tomorrow Goodbye,tvMovie,2000
347,tt0204932,Den bästa sommaren,movie,2000
348,tt0204548,Petit Ben,tvMovie,2000
349,tt0205501,Virtual Mom,tvMovie,2000
350,tt0205873,The Dish,movie,2000
351,tt0205408,Short,short,2000
352,tt0205461,Thomas and the Magic Railroad,movie,2000
353,tt0205836,Tutto l'amore che c'è,movie,2000
354,tt0206068,The Kaleidoscope,movie,2000
355,tt0203119,Sexy Beast,movie,2000
356,tt0202864,Endsville,movie,2000
357,tt0203019,Men of Honor,movie,2000
358,tt0203056,Pocetí mého mladsího bratra,movie,2000
359,tt0203144,Something Sweet,movie,2000
360,tt0203166,Tillsammans,movie,2000
361,tt0204761,La fidélité,movie,2000
362,tt0204626,The Watcher,movie,2000
363,tt0205096,The Good Doctor,short,2000
364,tt0204499,Ninja Mission 2000,movie,2000
365,tt0205027,Dubbel-8,movie,2000
366,tt0205271,Dr. T & the Women,movie,2000
367,tt0204933,Camera Obscura,movie,2000
