nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0891895,Paz Vega,1976,\N,"actress,producer,soundtrack","tt0371246,tt0254455,tt0499603,tt1206885"
nm0001458,Cloris Leachman,1926,2021,"actress,soundtrack","tt0371246,tt0481499,tt0072431,tt0067328"
nm0001842,Adam West,1928,2017,"actor,soundtrack,director","tt0157503,tt0059968,tt0060153,tt0371606"
nm1138829,Josh Austin,1974,\N,"actor,art_department,producer","tt0371282,tt2035512,tt12730474,tt0474776"
nm0055269,Nate Barlow,1975,\N,"producer,actor,miscellaneous","tt0282410,tt0245120,tt0371282,tt12629034"
nm1394272,Eric Manning,1974,\N,"actor,writer,director","tt6294604,tt0846033,tt0779736,tt0371282"
nm0130423,Sergi Calleja,1965,\N,"actor,producer","tt0321175,tt0350193,tt0114671,tt0494935"
nm0031914,Joseba Apaolaza,1960,\N,actor,"tt0275681,tt0109699,tt0198093,tt8393332"
nm0001177,Chris Eigeman,1965,\N,"actor,director,writer","tt0100142,tt0109219,tt0252076,tt0120728"
nm0001221,Louise Fletcher,1934,2022,actress,"tt0139134,tt0073486,tt0093036,tt0114857"
nm0683986,Robert Pine,\N,\N,"actor,director,location_management","tt0421239,tt0947802,tt0075488,tt2357129"
nm0121616,Bryan Burke,1986,\N,actor,"tt0185278,tt0139669,tt0372215,tt0168563"
nm1172623,Sarge Lintecum,1946,\N,,tt0370365
nm1394527,Jake Odgers,\N,\N,visual_effects,"tt0370365,tt11866328,tt9243804"
nm0001885,Lars von Trier,1956,\N,"writer,director,producer","tt1527186,tt0870984,tt4003440,tt0168629"
nm0910591,Travis Walton,1953,\N,"actor,writer,assistant_director","tt4305162,tt3527300,tt0106912,tt4065756"
nm1227232,Brady Corbet,1988,\N,"actor,producer,director","tt1527186,tt2815902,tt0808279,tt0370986"
nm0330687,Joseph Gordon-Levitt,1981,\N,"actor,producer,soundtrack","tt1276104,tt2229499,tt1306980,tt1375666"
nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0113627,tt0164052,tt0092513,tt0120053"
nm0255175,Chase Ellison,1993,\N,"actor,soundtrack","tt0370986,tt0808510,tt1606180,tt0477139"
nm1222836,Chad Smith,\N,\N,actor,"tt0098051,tt0402743,tt0314353,tt0340163"
nm0482335,Lalaine,1987,\N,"actress,soundtrack,writer","tt1282140,tt0118276,tt0273366,tt2100121"
