id_film,Direccion,Guion,Puntuacion_IMDB,Puntuacion_Rottem,Duracion,Argumento
tt0417056,"William Heins, Strathford Hamilton","Cheryl Guerriero, Anna Obropta",1.7, 0%,1h 31min,
tt0417175,Alison Reid,"Richard Beattie, Alison Reid, Steve Adams",5.4, 0%,14min,"Leaping tall buildings in a single bound is all part of the risk in a secret mission to create a genetic combination born of Athena and Lilith. The cat rescuing entrepreneur and the genetic engineer are desperate to have a baby together, and when science fails to help them, Lilith takes matters into her own hands"
tt0417547,"Scott La, Rose","Scott La, Rose",6.0,66%,2006,"3 Stand-up comics cross paths with a religious zealot who's killing Devil worshipers, blasphemers and now... comedians."
tt0417220,Ari Palitz,"Gordon Michaels, Randy Noojin",5.0,66%,1h 22min,"A wannabe Elvis meets his true love, the best waitress in the West."
tt0418206,Bernard Murray Jr.,Bernard Murray Jr.,3.9,21%,1h 35min,"Seventeen-year old Robbie Zirpollo has a problem. As the film opens, his mother is driving him to his new summer job. We learn that Robbie has grown up in Oceanside, California, but now he and his mother have moved to Colorado for a fresh start, as his father has taken the family's savings and his secretary to Mexico. Robbie's mom has, through an uncle, gotten him a s... Leer todo"
tt0418115,Dominik Graf,"Karin Aström, Michael Klier, Günter Schütter",6.7,21%,2h 8min,"A coming-of-age story set in Germany in the 1960s. Siggi becomes involved in a love triangle when he falls for Luise, but the tightening political climate forces him to make a fateful decision."
tt0418676,Emily Skopov,Emily Skopov,5.2, 0%,1h 31min,"A successful female editor whose biological clock is ticking and and a struggling writer make a deal to realize her dreams of motherhood and his dreams of literary stardom. But once they get everything they want, are they really happy?"
tt0419146,Pernille Fischer Christensen,"Kim Fupz Aakeson, Pernille Fischer Christensen",6.4,55%,1h 44min,A tragicomedy focused on the relationship between the owner of a beauty clinic and a transgender woman.
tt0418765,"Pavel Göbl, Roman Svejda","Pavel Göbl, René LevínskýRoman Svejda",5.4,55%,2006,Dirección
tt0418823,Ray Ellin,,8.7,55%,1h 32min,THE LATIN LEGENDS OF COMEDY is a concert/documentary filmed at the club the three comedians started their careers in New York City. Filmmaker Ray Ellin captures stellar performances and commentary from the country's top Latin comics.
tt0417909,"Allan Fiterman, Christian Schoyen","Christian Schoyen, Luis Reneo",3.6, 0%,1h 32min,"Docudrama about two friends who, after being bullied as children, become corrupt as they grow up because they have been conditioned to believe that they need to achieve materialistic success to be 'accepted' and liked by others, in a society where the end justifies the means."
tt0420087,Robert Altman,"Garrison Keillor, Ken La, Zebnik",6.7,81%,1h 45min,
tt0419058,Neeraj Vora,Neeraj Vora,7.3,67%,2h 33min,"Baburao, Raju and Shyam are living happily after having risen from rags to riches. Still, money brings the joy of riches and with it the greed to make more money. And so, with a don as an unknowing investor, Raju initiates a new game."
tt0418657,Peter Thorwarth,"Peter Thorwarth, Alexander M. Rümelin",6.3,33%,2h 14min,Ingo organizes a charity event for the local golf club. Special guest will be the Hollywood star Douglas Burnett. But who remembers what the aging star looks like today?
tt0419749,Sidney Lumet,"Sidney Lumet, T.J. Mancini, Robert J. Mc, Crea",7.0,63%,2h 5min,
tt0419396,"Carlos CarreraÁngel Flores Torres, Carlos González Sariñana","Diana Benítez, Carlos González Sariñana, Ernesto Murguía",5.6,63%,1h 40min,"The movie is composed eight shorts, each of them dealing with the themes of sex, love and perversions."
tt0420223,Marc Forster,Zach Helm,7.5,63%,1h 53min,
tt0421244,Colin Bishop,Colin Bishop,6.2,17%,1h 24min,Veteran director Jack Rammer stages a comeback only to find himself confronted by characters of his own creation.
tt0421045,Scott Lew,Scott Lew,5.6,50%,1h 20min,"When his journal of bright ideas is stolen, college freshman Bickford Schmeckler (Fugit) has to blanket the campus in order to locate it."
tt0420757,Mike Binder,Mike Binder,5.5,38%,1h 36min,
tt0421729,John Whitesell,"Don Rhymer, Darryl Quarles",4.8, 5%,1h 39min,
tt0422366,Todd Rohal,Todd Rohal,5.9,71%,1h 38min,"A mysterious power failure in a small mountain town coincides with the disappearance of one of its most eccentric young residents. Mystery piles upon mystery as his family and friends search for him, fail, and ultimately try to forget about him, an undertaking that results in many unexpected, and in some cases bizarre, effects on the town's already peculiar community."
tt0422401,Adam Green,Adam Green,5.6,57%,1h 33min,
tt0422861,Billy Kent,"Sarah Bird, Billy Kent, Adam Wierzbianski",5.5,23%,1h 28min,Priscilla Chase is a woman who has never had an orgasm.
tt0425478,Varun Khanna,Varun Khanna,6.1,90%,1h 40min,Dirección
tt0424095,"David Bowers, Sam Fell","Dick Clement, Ian La Frenais, Christopher Lloyd",6.6,73%,1h 25min,
tt0424818,Mohamed Ali,"Ahmed El Nasser, Samy Hossam",5.5,73%,1h 20min,"""Essam"" (Khaled A. Naga) & ""Laila"" (Hend Sabri) have known each other for years, and are not really good friends, but they became good friends... best friends!, Would sex ruin the friendship/relationship?."
tt0424345,Kevin Smith,Kevin Smith,7.3,63%,1h 37min,
