id_film,Direccion,Guion,Puntuacion_IMDB,Puntuacion_Rottem,Duracion,Argumento
tt0177882,Anno Saul,"Fatih Akin, Ruth Toma, Jan Berger",6.6,73%,1h 36min,"In Hamburg, Ibrahim ""Ibo"" Secmez, of Turkish descent, wants to direct the first German kung-fu movie. For now he makes commercials for his uncle's kebab restaurant. When Titzie, Ibo's aspiring-actress girlfriend, finds out that she's pregnant, Ibo's uncertainty about fatherhood is compounded by his own father's disowning him for getting a German girl pregnant--so Titz... Leer todo"
tt0187279,"Pankaj Parashar, Jaidev Chakraborty, S.M. Iqbal",,3.5,73%,2h 30min,Ajay gets married to his childhood friend Durga; who is illiterate unable to differentiate between the style of these days and that of long time ago. When Ajay is given the post as police inspector he re-locates to Bombay and later on encourages Durga to move into there new home. In this new environment Durga will meet with some women who are subjected to injustice by... Leer todo
tt0239235,Kodi Ramakrishna,Satyanand,6.2,73%,2h 28min,"Orphaned Arjun lives a poor lifestyle in an ashram along with his mentor, known simply as Guruji, and several other younger orphans in a forest region, Shivgiri which is accessible via railway station Buddhir Medi. One day while returning home, he comes to the assistance of Sapna, who has journeyed all the way from North America after hearing of the sudden death of he... Leer todo"
tt0244746,Helmut Kobler,Jon Clarke,6.9,93%,33min,"Radius tells the story of a military ship shot down behind enemy lines. A massive ""CraterMaker"" warhead has gone active on the downed ship, giving the pilot and her crew 30 minutes to escape the blast. Meanwhile, an entity named Diamone, divided itself into twins to try to stop the bomb and stop the crew."
tt0263939,Antonio Dorado,Antonio Dorado,6.4,57%,1h 32min,"Cali, Colombia, 1970s. The fictional story of Pedro Rey, the first drug trafficker and drug lord."
tt0264410,Paul Matthews,Paul Matthews,3.1,57%,1h 24min,A warlord's son is cursed to be reborn lifetime after lifetime and fated to love and lose until the curse is lifted.
tt0267379,Jimmy Lee,Jimmy Lee,4.1, 0%,1h 33min,"In Los Angeles, the young Jenny has a nice childhood with her Korean parents Joanne and David Kim. However, after the divorce of her parents, the judge gives her custody to her selfish mother that neglects Jenny while the disappointed David returns to Seoul. Six years later, Jenny is a troubled and reckless teenager expelled from the public school that has easy sex an... Leer todo"
tt0270841,Jian Hong Kuo,Christopher Hatton,4.4,35%,1h 43min,"In a future Singapore, CyberLink is used for communication (sometimes virtual reality), monetary transaction and records of all citizens. Headhunter Dash is commissioned to find Edward Chan. Why are so many interested in him?"
tt0285624,"Daniel Mc, Carthy","Daniel Mc, Carthy",4.9,71%,1h 52min,"""Irish Eyes"" explores the relationship between two Irish-American brothers in Boston born to immigrant parents and raised in a rough, working class Irish neighborhood. After watching their father being gunned down in front of their eyes as children, Thomas and Sean Phelan grow up building their lives on opposite ends of the law. Thomas, the studious and responsible br... Leer todo"
tt0287733,Jeff Burr,"Jeff Burr, Mark Hannah",4.9,57%,1h 35min,"When two young American GIs desert their platoon in the final days of World War II, they will find themselves struggling against all odds to stay alive."
tt0290808,Andreas Brandy,Andreas Brandy,4.0,57%,1h 52min,"First day on job publicist, a radio show personality, confused gang leader, and a shrink on crack rush to recuperate Brad Pitt who is hallucinating apes after drinking a soda contaminated with bug killer."
tt0296572,David Twohy,"Jim Wheat, Ken Wheat, David Twohy",6.6,57%,1h 59min,
tt0297741,Attila Árpa,"Péter Huszár, Bence Trunkó",7.0,96%,1h 46min,"The crew of Tibi Balogh sets out on a journey across Hungary to get the ancient Gold Owl statue, as well as the Milk Man. The treasure is worth millions, who gets there first?"
tt0297012,Roger Christian,"Scott Duncan, Carlos Gallardo, Ned Kerwin",5.1,96%,1h 35min,"When legendary thief Max Cruz is framed by the CIA, he has no choice but to help them with a top-secret mission. Mexican crimelord Beno Gildemontes has stolen classified intelligence data. Max must steal it back. Max plays it cool as he infiltrates Beno's palace stronghold in the steamy jungle of the Yucatan. Max is surrounded by treachery and can trust no one, includ... Leer todo"
tt0305753,Scott Firestone,Scott Firestone,4.9,00%,1h 38min,"A friendly vacation for four old friends - two couples from college - turns ugly...then deadly. What begins as a friendly 'extreme' week long camping trip goes from a warm 'Big Chill' into a chilling 'Deliverance' as old wounds unsurface, passions rise and personalities unravel."
tt0306892,Tom Reeve,"Tom Reeve, Michael Burks",5.6,48%,1h 33min,
tt0308905,Brian Thomas Jones,"C. Courtney Joyner, Linda Denise Martin",3.9,40%,1h 39min,Best pals enlist the aid of their idol and sexy gals as they pursue their dream of wrestling on the illegal bar circuit.
tt0316654,Sam Raimi,"Stan Lee, Steve Ditko, Alfred Gough",7.5,40%,2h 7min,
tt0316824,Tony Giglio,"John E. Deaver, Tony Giglio, Johnny Hartmann",6.0,46%,1h 34min,
tt0317648,Joe Johnston,John Fusco,6.7,46%,2h 16min,
tt0316732,Tim Story,"Luc Besson, Robert Ben Garant, Thomas Lennon",4.5, 9%,1h 37min,
tt0317705,Brad Bird,Brad Bird,8.0,97%,1h 55min,
tt0318627,Alexander Witt,Paul W.S. Anderson,6.1,97%,1h 34min,
tt0319262,Roland Emmerich,"Roland Emmerich, Jeffrey Nachmanoff",6.5,45%,2h 4min,
tt0323013,Farhan Akhtar,"Javed Akhtar, Karan Kashyap, Karan Vishwanath Kashyap",7.8,85%,3h 6min,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
tt0325713,Mennan Yapo,"Mennan Yapo, Lars-Olav Beier",6.5,62%,1h 34min,"Viktor, a methodical hit man, probably on his last job, has no plan for his retirement. He does not kill Nina, a woman sleeping beside his latest mark; then he follows her and rescues her from an attempted suicide. Nina is attracted to him, but also wants to know who he is. Her pursuit of his identity crosses the investigation of Lang, a brilliant police investigator ... Leer todo"
tt0325950,Damian Chapa,"Troy Barker, Damian Chapa, Carlton Holder",4.7,76%,2h 8min,"In the streets of East Los Angeles, Manny is a formidable drug dealer. Impressed by his extravagant lifestyle and prowess, his young son Kilo yearns to follow in his footsteps. Kilo resolves to learn how to prosper in the drug world, and his new life as a dealer begins. Starting off small, dealing to the high school and college market, Kilo discovers that the drug bus... Leer todo"
tt0327437,Frank Coraci,"Jules Verne, David N. Titcher, David Benullo",5.9,32%,2h,
tt0328107,Tony Scott,"A.J. Quinnell, Brian Helgeland",7.7,39%,2h 26min,
tt0327554,Pitof,"Bob Kane, Theresa Rebeck, John Brancato",3.4,39%,1h 44min,
tt0329099,Christian James,"Dan Palmer, Christian James",5.1,57%,1h 32min,"Two best friends, Merv Doody (James Heathcote) and Onkey (Dan Palmer), take a hapless escaped mental patient under their wing and attempt to teach him how to become a real serial killer."
tt0329691,Joseph Kahn,Matt Johnson,4.1,22%,1h 24min,
tt0328993,Bryan Goeres,"Douglas L. Walton, Brent Huff, Robert Tiffe",4.3,35%,1h 39min,A police officer searching for his missing sister in Spain uncovers a terrorist cell.
tt0330220,"Greg Carter, Derrick 'D-Reck' Dixon","Derrick 'D-Reck' Dixon, Keith Kjornes",5.4,00%,1h 38min,"The streets are lined with cash and the only way to get it from the gangsters is to steal without hesitation and gun for your life like there's no tomorrow -- and when the bullets finish blazing, only the illest will be left standing."
tt0330793,Jonathan Hensleigh,"Jonathan Hensleigh, Michael France",6.4,00%,2h 4min,
tt0337540,Malcolm Needs,Malcolm Needs,5.5,52%,1h 35min,A man who ran a brutal gang in the 1960s.
tt0337103,Olivier Dahan,"Luc Besson, Jean-Christophe Grangé",5.9,45%,1h 40min,
tt0337921,David R. Ellis,"Larry Cohen, Chris Morgan",6.5,45%,1h 34min,
tt0337917,Bart Freundlich,"Nikolaj Arcel, Fabian Wullenweber, Erlend Loe",5.2,13%,1h 31min,"A girl and her two friends raid a bank, looking for the money needed for financing the cure of her dying father."
tt0338325,Paul Abascal,Forry Smith,5.7,18%,1h 24min,A rising Hollywood actor decides to take personal revenge against a group of four persistent photographers to make them pay for almost causing a personal tragedy involving his wife and son.
tt0338526,Stephen Sommers,Stephen Sommers,6.1,24%,2h 11min,
tt0339896,Viktor Ivanov,"Viktor Ivanov, John Jopson",4.9,88%,1h 31min,In 1919 a White Army train carrying the bulk of Czar Nicolas' gold reserves arrives empty at Siberia's Ikutsk station. Decades later the grandson of a White Army officer inherits a map to the treasure.
tt0339147,Robert Harmon,"Craig Mitchell, Hans Bauer",5.6,13%,1h 20min,Rennie Cray (Caviezel) embarks on a bloodthirsty rampage to avenge the death of his wife who was struck down by a serial killer - a man who hunts and kills women using his '72 El Dorado.
tt0343962,Scott Thomas,"Scott Thomas, James Becket, Fabian Carrillo",4.3,20%,1h 41min,"A decorated war hero and covert agent, Danny Silva returns home to East L.A. and finds his neighborhood has been taken over by violent street gangs headed by the brutally corrupt Bishop Thorn."
tt0343818,Alex Proyas,"Jeff Vintar, Akiva Goldsman, Isaac Asimov",7.1,56%,1h 55min,
tt0345235,Julien Seri,"Bruno Guiblet, Philippe Lyon, Charles Perrière",4.6,39%,1h 33min,"Six parkour adepts open a gym in Bangkok. When the new gym starts to attract the area's kids, a local gang feels challenged. Their Eurasian leader Kien attacks the foreigners while they are training on a scaffold."
tt0344777,Kevin Downes,"Kevin Downes, Chipper Lowell, David A.R. White",4.1,73%,1h 47min,"In the last days before Armaggeddon, three men must make one eternal choice: receive the mark of the devil or stand for Christ. This movie will make you think about your own life choices."
tt0346156,Kerry Conran,Kerry Conran,6.1,71%,1h 46min,
tt0346491,Oliver Stone,"Oliver Stone, Christopher Kyle, Laeta Kalogridis",5.6,16%,2h 55min,
tt0347330,Nicolas Boukhrief,"Éric Besnard, Nicolas Boukhrief",6.5,61%,1h 35min,
tt0347591,Scott Spiegel,"Lee Batchler, Janet Scott Batchler",4.5,31%,1h 18min,"When her surrogate father who owns the casino she works in gets murdered, Modesty Blaise takes on those that killed him and are now at the casino to rob it. It turns out she is more than just a modest worker."
tt0348121,"Shinji Takagi, Katsuhiro Ôtomo","Sadayuki Murai, Katsuhiro Ôtomo",6.8,60%,2h 6min,
tt0347332,Rajkumar Santoshi,"Ranjit Kapoor, Shridhar Raghavan, Rajkumar Santoshi",7.4,00%,2h 54min,A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.
tt0348565,Clive Morris,Clive Morris,5.3,00%,2004,Dirección
tt0347473,Farah Khan,"Farah Khan, Abbas Tyrewala, Rajesh Saathi",7.0,81%,3h 2min,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother."
tt0349620,Pankaj Parashar,"Rajiv Babbar, Shahnawaz Ahmed Kenny, Yunus Sajawal",5.1,81%,2h 7min,"Assistant Commissioner of Police, Uday Dhirendra Thakur, is a rogue cop, known for his relentlessness in pursuing criminals, and bringing them to justice, failing which, killing them in false encounters. It is this reputation that gets him transferred to crime detection, and counseling at the hands of Dr. Mehak. Then a series of homicides take place, and the police fe... Leer todo"
tt0349889,David Carson,Tom Vaughan,4.9,24%,1h 36min,"Dean has PTSD after a wet-job gone bad in Bosnia. Waiting for his police girlfriend at a diner, some bad guys inject him with a hallucinogen. It sends him back to traumatic experiences in Bosnia and he reacts violently."
tt0349683,Antoine Fuqua,David Franzoni,6.3,24%,2h 6min,
tt0349710,Jay Russell,Lewis Colick,6.5,41%,1h 55min,
tt0351078,Kjell Sundvall,"Karin Alvtegen-Lundberg, Stefan Sauk, Ken Lindberg",4.9, 3%,1h 43min,"A programmer who's working with the secret EWS computer system at a military air force base is threaten by foreign agents, along with his family. His only chance of rescue seems to be the war veteran Haglund who is a leader of a special taskforce."
tt0352699,Andrew Prendergast,"Alan Coulson, Jason Kingsley, Paul Mackman",2.8, 0%,1h 33min,"A cleaning fluid experiment on an oil rig turns disastrous when a worker goes missing and eco-activists seize the rig, before a dangerous new creature forces workers and activists to band together."
tt0353248,mink,Kantz,3.2,14%,1h 35min,"Joshua Pope (Busta Rhymes) returns to his childhood home to claim the inheritance his late father has left him only to find that the local police have turned the town upside down and are ruling with an iron fist. So, with the help of an old friend (Xzibit) and his cohorts,Pope sets out to reclaim the town he once loved...by any means necessary. Tounge and cheek 70's s... Leer todo"
tt0351977,Kevin Bray,"Mort Briskin, David Klass, Channing Gibson",6.3,26%,1h 26min,
tt0354766,Ernest R. Dickerson,"Donald Goines, James Gibson",5.6,26%,1h 28min,A drug kingpin's return home touches off a turf war.
tt0353545,Ryan Combs,Ryan Combs,2.0,31%,1h 30min,"This offbeat dark comedy take place when four friends (Brisco, J Rob, Pedro, and Hay Love) have a backyard bar-b-q and decide to come up on some bud. Not knowing where to turn, because the streets have been dry for a few months, they end up scoring from the son of a over protective mob figure by the name of Fredrico, who vows, if anything should happen to his son, the... Leer todo"
tt0354965,Veera Shankar,"Pawan Kalyan, Satyanand",5.8,31%,2h 56min,"Shankar aka Gudumba Shankar, a petty-thief, falls in love with Gowri. When Shankar learns that Gowri and her family are harassed by powerful goon Kumaraswamy, he sets up a plot to fool kumaraswamy."
tt0358148,Gary Brockette,"Steven Chase, Howard Flamm",4.3,51%,1h 41min,"Ryan and Pete are 27-year old best friends in Miami, born on the same day and each searching for the perfect woman. Ryan is a rookie stockbroker living with his psychic Mom. Pete is a slick surfer dude yet to find commitment. Each meets the women of their dreams on the same day. Ryan knocks heads in an elevator with the gorgeous Jessica, passing out before getting her... Leer todo"
tt0356336,Frédéric Schoendoerffer,"Yann Brion, Jean Cosmos, Olivier Douyère",5.4,26%,1h 49min,
tt0357894,Jingle Ma,"Susan Chan, Jingle Ma",5.1,33%,1h 39min,"Lulu Wong lives a double life - part urban social butterfly, part vigilante superhero. Armed with ancient fighting techniques and high tech hardware, Lulu is a beautiful masked millionaire battling to defeat a greedy tyrant."
tt0358349,Kevin Allen,"Jeffrey Jurgensen, Harald Zwart, Dylan Sellers",4.5,13%,1h 40min,
tt0359013,David S. Goyer,"David S. Goyer, Marv Wolfman, Gene Colan",5.8,24%,1h 53min,
tt0360009,David Mamet,David Mamet,6.5,65%,1h 46min,
tt0361399,Anthony Hickox,"Steven E. de Souza, Horst Freund",4.7,25%,1h 32min,A terrorist posing as environmentalist hijacks an oil rig off the coast of California with the intent of detonating an electromagnetic bomb over the US.
tt0362942,Christoph Schrewe,"Torsten Dewi, Christoph Schrewe",3.3,14%,1h 35min,"After a meteor strike starts a new ice age, a group of survivors tries to find a device that could give mankind new hope"
tt0362270,Wes Anderson,"Wes Anderson, Noah Baumbach",7.2,57%,1h 59min,
